_step,val_accuracy,val_examples_per,generator_model,reward,int_reward_margin,cr_coef
0,0.45,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
1,0.482,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
2,0.478,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
3,0.442,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
4,0.478,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
5,0.502,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
6,0.51,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
7,0.548,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
8,0.546,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
9,0.55,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
10,0.544,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
11,0.598,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
12,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
13,0.598,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
14,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
15,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
16,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
17,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
18,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
19,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
0,0.416,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
1,0.42,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
2,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
3,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
4,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
5,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
6,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
7,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
8,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
9,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
10,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
11,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
12,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
13,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
14,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
15,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
16,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
17,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
18,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
